idStudent,fullName,gender,email,phone
170000,Vũ Tuyết Loan,0,std170000@sis.hust.edu.vn,0989312656
170001,Nguyễn Tài Ðức,1,std170001@sis.hust.edu.vn,0989312657
170002,Lã Hải Nhi,0,std170002@sis.hust.edu.vn,0989312658
170003,Trần Hồng Quế,0,std170003@sis.hust.edu.vn,0989312659
170004,Lã Đức Hòa,1,std170004@sis.hust.edu.vn,0989312660
170005,Dương Nhật Huy,1,std170005@sis.hust.edu.vn,0989312661
170006,Phạm Thiếu Cường,1,std170006@sis.hust.edu.vn,0989312662
170007,Võ Ban Mai,0,std170007@sis.hust.edu.vn,0989312663
170008,Phan An Khang,1,std170008@sis.hust.edu.vn,0989312664
170009,Hồ Phương Thảo,0,std170009@sis.hust.edu.vn,0989312665
170010,Phùng Trâm Anh,0,std170010@sis.hust.edu.vn,0989312666
170011,Tô Thế Phúc,1,std170011@sis.hust.edu.vn,0989312667
170012,Lê Mỹ Phụng,0,std170012@sis.hust.edu.vn,0989312668
170013,Lã Thượng Khang,1,std170013@sis.hust.edu.vn,0989312669
170014,Phan Thúy Hường,0,std170014@sis.hust.edu.vn,0989312670
170015,Bùi Ngọc Ðoàn,1,std170015@sis.hust.edu.vn,0989312671
170016,Phạm Hữu Từ,1,std170016@sis.hust.edu.vn,0989312672
170017,Trần Hải Sơn,1,std170017@sis.hust.edu.vn,0989312673
170018,Đinh Hữu Hoàng,1,std170018@sis.hust.edu.vn,0989312674
170019,Lê Thanh Hường,0,std170019@sis.hust.edu.vn,0989312675
170020,Dương Khánh Mai,0,std170020@sis.hust.edu.vn,0989312676
170021,Bùi Yên Đan,0,std170021@sis.hust.edu.vn,0989312677
170022,Tô Trúc Mai,0,std170022@sis.hust.edu.vn,0989312678
170023,Trần Thúy Hiền,0,std170023@sis.hust.edu.vn,0989312679
170024,Hồ Cam Thảo,0,std170024@sis.hust.edu.vn,0989312680
170025,Lê Minh Hưng,1,std170025@sis.hust.edu.vn,0989312681
170026,Nguyễn Tuyết Hồng,0,std170026@sis.hust.edu.vn,0989312682
170027,Hoàng Kim Thy,0,std170027@sis.hust.edu.vn,0989312683
170028,Phùng Xuân Sơn,1,std170028@sis.hust.edu.vn,0989312684
170029,Lê Nhã Ý,0,std170029@sis.hust.edu.vn,0989312685
170030,Phạm Trúc Lan,0,std170030@sis.hust.edu.vn,0989312686
170031,Hoàng Hồ Nam,1,std170031@sis.hust.edu.vn,0989312687
170032,Đặng Tuấn Dũng,1,std170032@sis.hust.edu.vn,0989312688
170033,Đỗ Đông Vy,0,std170033@sis.hust.edu.vn,0989312689
170034,Phùng Tố Quyên,0,std170034@sis.hust.edu.vn,0989312690
170035,Vũ Thái Lan,0,std170035@sis.hust.edu.vn,0989312691
170036,Vũ Trung Kiên,1,std170036@sis.hust.edu.vn,0989312692
170037,Nguyễn Khánh Vy,0,std170037@sis.hust.edu.vn,0989312693
170038,Phan Chí Kiên,1,std170038@sis.hust.edu.vn,0989312694
170039,Trần Minh Thương,0,std170039@sis.hust.edu.vn,0989312695
170040,Dương Ngọc Huệ,0,std170040@sis.hust.edu.vn,0989312696
170041,Vũ Thiên Hương,0,std170041@sis.hust.edu.vn,0989312697
170042,Nguyễn Thụy Nương,0,std170042@sis.hust.edu.vn,0989312698
170043,Lý Anh Thi,0,std170043@sis.hust.edu.vn,0989312699
170044,Đỗ Kiến Ðức,1,std170044@sis.hust.edu.vn,0989312700
170045,Dương Kiết Hồng,0,std170045@sis.hust.edu.vn,0989312701
170046,Phùng Thúy Vân,0,std170046@sis.hust.edu.vn,0989312702
170047,Bùi Thủy Nguyệt,0,std170047@sis.hust.edu.vn,0989312703
170048,Dương Ngọc Diệp,0,std170048@sis.hust.edu.vn,0989312704
170049,Đinh Việt Trinh,0,std170049@sis.hust.edu.vn,0989312705
170050,Phạm Hải Anh,0,std170050@sis.hust.edu.vn,0989312706
170051,Phạm Chấn Hùng,1,std170051@sis.hust.edu.vn,0989312707
170052,Phan Nguyệt Lan,0,std170052@sis.hust.edu.vn,0989312708
170053,Bùi Minh Nhu,1,std170053@sis.hust.edu.vn,0989312709
170054,Đinh Nghị Quyền,1,std170054@sis.hust.edu.vn,0989312710
170055,Bùi Tùng Quang,1,std170055@sis.hust.edu.vn,0989312711
170056,Hoàng Hồng Như,0,std170056@sis.hust.edu.vn,0989312712
170057,Vũ Hiền Mai,0,std170057@sis.hust.edu.vn,0989312713
170058,Đinh Tiến Ðức,1,std170058@sis.hust.edu.vn,0989312714
170059,Tô Thu Nhiên,0,std170059@sis.hust.edu.vn,0989312715
170060,Trần Ngọc Thi,0,std170060@sis.hust.edu.vn,0989312716
170061,Lý Linh San,0,std170061@sis.hust.edu.vn,0989312717
170062,Đinh Thanh Hảo,0,std170062@sis.hust.edu.vn,0989312718
170063,Phạm Tài Ðức,1,std170063@sis.hust.edu.vn,0989312719
170064,Dương Xuân Nghi,0,std170064@sis.hust.edu.vn,0989312720
170065,Hoàng Xuân Thanh,0,std170065@sis.hust.edu.vn,0989312721
170066,Lê Xuân Nhi,0,std170066@sis.hust.edu.vn,0989312722
170067,Tô Thanh Vân,0,std170067@sis.hust.edu.vn,0989312723
170068,Bùi Ánh Linh,0,std170068@sis.hust.edu.vn,0989312724
170069,Lã Phương Thể,1,std170069@sis.hust.edu.vn,0989312725
170070,Võ Liên Trân,0,std170070@sis.hust.edu.vn,0989312726
170071,Hồ Sông Hà,0,std170071@sis.hust.edu.vn,0989312727
170072,Tô Quang Lâm,1,std170072@sis.hust.edu.vn,0989312728
170073,Hồ Thế Doanh,1,std170073@sis.hust.edu.vn,0989312729
170074,Trần Tuyết Hồng,0,std170074@sis.hust.edu.vn,0989312730
170075,Vũ Bảo Trâm,0,std170075@sis.hust.edu.vn,0989312731
170076,Dương Thiện Luân,1,std170076@sis.hust.edu.vn,0989312732
170077,Đặng Mỹ Phụng,0,std170077@sis.hust.edu.vn,0989312733
170078,Phan Gia Kiệt,1,std170078@sis.hust.edu.vn,0989312734
170079,Đinh Quang Tuấn,1,std170079@sis.hust.edu.vn,0989312735
170080,Phùng Ánh Thơ,0,std170080@sis.hust.edu.vn,0989312736
170081,Lã Quang Linh,1,std170081@sis.hust.edu.vn,0989312737
170082,Phạm Gia Phước,1,std170082@sis.hust.edu.vn,0989312738
170083,Nguyễn Cẩm Hường,0,std170083@sis.hust.edu.vn,0989312739
