idTeacher,fullName,gender,email,phone
5001,Tô Hoàng Lan,0,teacher5000@sis.hust.edu.vn,0949802218
5002,Vũ Kiến Bình,1,teacher5001@sis.hust.edu.vn,0973892286
5003,Dương Quang Tú,1,teacher5002@sis.hust.edu.vn,0973892286
5004,Phạm Việt Thi,0,teacher5003@sis.hust.edu.vn,0949802218
5005,Vũ Nguyết Ánh,0,teacher5004@sis.hust.edu.vn,0949802218
5006,Nguyễn Hoa Lý,0,teacher5005@sis.hust.edu.vn,0949802218
5007,Đặng Tùng Linh,0,teacher5006@sis.hust.edu.vn,0949802218
5008,Bùi Tố Loan,0,teacher5007@sis.hust.edu.vn,0949802218
5009,Đinh Quang Bửu,1,teacher5008@sis.hust.edu.vn,0973892286
5010,Lê Ngọc Phụng,0,teacher5009@sis.hust.edu.vn,0949802218
5011,Lã Hồng Nhuận,1,teacher5010@sis.hust.edu.vn,0973892286
5012,Võ Quốc Thông,1,teacher5011@sis.hust.edu.vn,0973892286
5013,Lã Vân Trinh,0,teacher5012@sis.hust.edu.vn,0949802218
5014,Vũ Xuân Hương,0,teacher5013@sis.hust.edu.vn,0949802218
5015,Phạm Ngọc Hạnh,0,teacher5014@sis.hust.edu.vn,0949802218
5016,Hồ Xuân Dung,0,teacher5015@sis.hust.edu.vn,0949802218
5017,Lý Thụy Trâm,0,teacher5016@sis.hust.edu.vn,0949802218
5018,Phạm Việt Mi,0,teacher5017@sis.hust.edu.vn,0949802218
5019,Tô Nhật Hà,0,teacher5018@sis.hust.edu.vn,0949802218
5020,Ngô Hải Ðường,0,teacher5019@sis.hust.edu.vn,0949802218
5021,Trần Thịnh Cường,1,teacher5020@sis.hust.edu.vn,0973892286
5022,Phan Thúy Anh,0,teacher5021@sis.hust.edu.vn,0949802218
5023,Đặng Thục Tâm,0,teacher5022@sis.hust.edu.vn,0949802218
5024,Lã Thục Khuê,0,teacher5023@sis.hust.edu.vn,0949802218
5025,Lê Minh Hoàng,1,teacher5024@sis.hust.edu.vn,0973892286
5026,Hoàng Ấu Lăng,0,teacher5025@sis.hust.edu.vn,0949802218
5027,Lã Thủy Tâm,0,teacher5026@sis.hust.edu.vn,0949802218
5028,Đặng Khắc Anh,1,teacher5027@sis.hust.edu.vn,0973892286
5029,Đặng Cát Ly,0,teacher5028@sis.hust.edu.vn,0949802218
5030,Hoàng Hoàng Mỹ,1,teacher5029@sis.hust.edu.vn,0973892286
5031,Đỗ Như Khang,1,teacher5030@sis.hust.edu.vn,0973892286
5032,Nguyễn Hữu Bào,1,teacher5031@sis.hust.edu.vn,0973892286
5033,Tô Nghị Quyền,1,teacher5032@sis.hust.edu.vn,0973892286
5034,Vũ Bảo Lâm,1,teacher5033@sis.hust.edu.vn,0973892286
5035,Hoàng Cường Thịnh,1,teacher5034@sis.hust.edu.vn,0973892286
5036,Đặng Mỹ Nga,0,teacher5035@sis.hust.edu.vn,0949802218
5037,Phan Tài Ðức,1,teacher5036@sis.hust.edu.vn,0973892286
5038,Nguyễn Nhã Ý,0,teacher5037@sis.hust.edu.vn,0949802218
5039,Đinh Hạnh Thảo,0,teacher5038@sis.hust.edu.vn,0949802218
5040,Lã Quang Linh,1,teacher5039@sis.hust.edu.vn,0973892286
5041,Trần Mỹ Nhân,0,teacher5040@sis.hust.edu.vn,0949802218
5042,Đặng Diệu Ái,0,teacher5041@sis.hust.edu.vn,0949802218
5043,Võ Bá Trúc,1,teacher5042@sis.hust.edu.vn,0973892286
5044,Trần Diên Vỹ,0,teacher5043@sis.hust.edu.vn,0949802218
5045,Trần Bạch Yến,0,teacher5044@sis.hust.edu.vn,0949802218
5046,Tô Quảng Ðại,1,teacher5045@sis.hust.edu.vn,0973892286
5047,Bùi Thanh Ngọc,0,teacher5046@sis.hust.edu.vn,0949802218
5048,Hồ Hữu Nghị,1,teacher5047@sis.hust.edu.vn,0973892286
5049,Lý Vĩnh Hải,1,teacher5048@sis.hust.edu.vn,0973892286
5050,Phan Diệu Thúy,0,teacher5049@sis.hust.edu.vn,0949802218
5051,Võ An Nhàn,0,teacher5050@sis.hust.edu.vn,0949802218
5052,Hoàng Thúy Vy,0,teacher5051@sis.hust.edu.vn,0949802218
5053,Lê Kiên Giang,1,teacher5052@sis.hust.edu.vn,0973892286
5054,Dương Thanh Tịnh,1,teacher5053@sis.hust.edu.vn,0973892286
5055,Đỗ Ngọc Quỳnh,0,teacher5054@sis.hust.edu.vn,0949802218
5056,Đinh Phượng Long,1,teacher5055@sis.hust.edu.vn,0973892286
5057,Ngô Gia Hoàng,1,teacher5056@sis.hust.edu.vn,0973892286
5058,Lý Vân Trang,0,teacher5057@sis.hust.edu.vn,0949802218
5059,Tô Thanh Ðoàn,1,teacher5058@sis.hust.edu.vn,0973892286
5060,Vũ Hải Vy,0,teacher5059@sis.hust.edu.vn,0949802218
5061,Vũ Mỹ Nương,0,teacher5060@sis.hust.edu.vn,0949802218
5062,Phạm Hồng Diễm,0,teacher5061@sis.hust.edu.vn,0949802218
5063,Lý Quỳnh Phương,0,teacher5062@sis.hust.edu.vn,0949802218
5064,Trần Việt Khang,1,teacher5063@sis.hust.edu.vn,0973892286
5065,Nguyễn Phụng Việt,1,teacher5064@sis.hust.edu.vn,0973892286
5066,Lã Chí Dũng,1,teacher5065@sis.hust.edu.vn,0973892286
5067,Đỗ Mạnh Trường,1,teacher5066@sis.hust.edu.vn,0973892286
5068,Lê Hồng Phương,0,teacher5067@sis.hust.edu.vn,0949802218
5069,Vũ Mộng Hoàn,1,teacher5068@sis.hust.edu.vn,0973892286
5070,Lê Diệu Ngà,0,teacher5069@sis.hust.edu.vn,0949802218
5071,Trần Xuân Thảo,0,teacher5070@sis.hust.edu.vn,0949802218
5072,Dương Trọng Kiên,1,teacher5071@sis.hust.edu.vn,0973892286
5073,Phan Trọng Nhân,1,teacher5072@sis.hust.edu.vn,0973892286
5074,Đinh Hải Mỹ,0,teacher5073@sis.hust.edu.vn,0949802218
5075,Lê Cao Tiến,1,teacher5074@sis.hust.edu.vn,0973892286
5076,Bùi Lan Anh,0,teacher5075@sis.hust.edu.vn,0949802218
5077,Dương Tấn Nam,1,teacher5076@sis.hust.edu.vn,0973892286
5078,Hồ Mỹ Tâm,0,teacher5077@sis.hust.edu.vn,0949802218
5079,Lý Phượng Nhi,0,teacher5078@sis.hust.edu.vn,0949802218
5080,Dương Tuyết Mai,0,teacher5079@sis.hust.edu.vn,0949802218
5081,Hồ Nguyệt Hà,0,teacher5080@sis.hust.edu.vn,0949802218
5082,Phạm Thúy Liễu,0,teacher5081@sis.hust.edu.vn,0949802218
5083,Đặng Hải Quân,1,teacher5082@sis.hust.edu.vn,0973892286
5084,Lý Kiều Anh,0,teacher5083@sis.hust.edu.vn,0949802218
5085,Hoàng Hoàng Thư,0,teacher5084@sis.hust.edu.vn,0949802218
5086,Trần Bảo Ðịnh,1,teacher5085@sis.hust.edu.vn,0973892286
5087,Dương Bảo Lễ,0,teacher5086@sis.hust.edu.vn,0949802218
5088,Hồ Thành Tín,1,teacher5087@sis.hust.edu.vn,0973892286
5089,Dương Công Lộc,1,teacher5088@sis.hust.edu.vn,0973892286
5090,Tô Quang Dương,1,teacher5089@sis.hust.edu.vn,0973892286
5091,Bùi Thúy Hường,0,teacher5090@sis.hust.edu.vn,0949802218
5092,Đặng Ân Thiện,1,teacher5091@sis.hust.edu.vn,0973892286
5093,Phùng Quốc Mỹ,1,teacher5092@sis.hust.edu.vn,0973892286
5094,Hồ Tấn Trương,1,teacher5093@sis.hust.edu.vn,0973892286
5095,Phạm Băng Tâm,0,teacher5094@sis.hust.edu.vn,0949802218
5096,Bùi Trúc Vân,0,teacher5095@sis.hust.edu.vn,0949802218
5097,Hồ Bảo Tín,1,teacher5096@sis.hust.edu.vn,0973892286
5098,Dương Thúy Liên,0,teacher5097@sis.hust.edu.vn,0949802218
5099,Đặng Dạ Thi,0,teacher5098@sis.hust.edu.vn,0949802218
5100,Trần Nhật Thịnh,1,teacher5099@sis.hust.edu.vn,0973892286
5101,Đỗ Ðại Ngọc,1,teacher5100@sis.hust.edu.vn,0973892286
5102,Ngô Duy Tiếp,1,teacher5101@sis.hust.edu.vn,0973892286
5103,Đặng Anh Vũ,0,teacher5102@sis.hust.edu.vn,0949802218
5104,Ngô Ðăng Khoa,1,teacher5103@sis.hust.edu.vn,0973892286
5105,Vũ Ðông Nguyên,1,teacher5104@sis.hust.edu.vn,0973892286
5106,Vũ Ðức Long,1,teacher5105@sis.hust.edu.vn,0973892286
5107,Võ Minh Hỷ,1,teacher5106@sis.hust.edu.vn,0973892286
5108,Bùi Tường Vy,0,teacher5107@sis.hust.edu.vn,0949802218
5109,Bùi Hoàng Thái,1,teacher5108@sis.hust.edu.vn,0973892286
5110,Lã Thanh Phong,1,teacher5109@sis.hust.edu.vn,0973892286
5111,Hoàng Thy Vân,0,teacher5110@sis.hust.edu.vn,0949802218
5112,Hồ Thạch Tùng,1,teacher5111@sis.hust.edu.vn,0973892286
5113,Lý Tuấn Thành,1,teacher5112@sis.hust.edu.vn,0973892286
5114,Dương Thụy Du,1,teacher5113@sis.hust.edu.vn,0973892286
5115,Phan Tiểu My,0,teacher5114@sis.hust.edu.vn,0949802218
5116,Đặng Thiệu Bảo,1,teacher5115@sis.hust.edu.vn,0973892286
5117,Hoàng Đoan Thanh,0,teacher5116@sis.hust.edu.vn,0949802218
5118,Lã Thảo Trang,0,teacher5117@sis.hust.edu.vn,0949802218
5119,Trần Trúc Liên,0,teacher5118@sis.hust.edu.vn,0949802218
5120,Hồ Hồng Thủy,0,teacher5119@sis.hust.edu.vn,0949802218
5121,Lã Nguyệt Cầm,0,teacher5120@sis.hust.edu.vn,0949802218
5122,Tô Minh Thảo,0,teacher5121@sis.hust.edu.vn,0949802218
5123,Hồ Mỹ Kiều,0,teacher5122@sis.hust.edu.vn,0949802218
5124,Nguyễn Nguyệt Cầm,0,teacher5123@sis.hust.edu.vn,0949802218
5125,Lã Hồ Nam,1,teacher5124@sis.hust.edu.vn,0973892286
5126,Bùi Minh Hiên,1,teacher5125@sis.hust.edu.vn,0973892286
5127,Đặng Bảo Vy,0,teacher5126@sis.hust.edu.vn,0949802218
5128,Võ Chí Giang,1,teacher5127@sis.hust.edu.vn,0973892286
5129,Tô Thanh Trung,1,teacher5128@sis.hust.edu.vn,0973892286
5130,Bùi Thế Lâm,1,teacher5129@sis.hust.edu.vn,0973892286
5131,Phùng Thiếu Mai,0,teacher5130@sis.hust.edu.vn,0949802218
5132,Tô Như Tâm,0,teacher5131@sis.hust.edu.vn,0949802218
5133,Nguyễn Khắc Anh,1,teacher5132@sis.hust.edu.vn,0973892286
5134,Võ Cao Thọ,1,teacher5133@sis.hust.edu.vn,0973892286
5135,Đinh Việt Duy,1,teacher5134@sis.hust.edu.vn,0973892286
5136,Lã Tường Vy,0,teacher5135@sis.hust.edu.vn,0949802218
5137,Lê Hữu Lương,1,teacher5136@sis.hust.edu.vn,0973892286
5138,Võ Quốc Hải,1,teacher5137@sis.hust.edu.vn,0973892286
5139,Đỗ Vinh Diệu,1,teacher5138@sis.hust.edu.vn,0973892286
5140,Đặng Kim Khanh,0,teacher5139@sis.hust.edu.vn,0949802218
5141,Bùi Ðức Phi,1,teacher5140@sis.hust.edu.vn,0973892286
5142,Võ Chánh Việt,1,teacher5141@sis.hust.edu.vn,0973892286
5143,Đặng Bá Kỳ,1,teacher5142@sis.hust.edu.vn,0973892286
5144,Dương Nguyên Giang,1,teacher5143@sis.hust.edu.vn,0973892286
5145,Lý Nhật Phương,0,teacher5144@sis.hust.edu.vn,0949802218
5146,Trần Khánh Ly,0,teacher5145@sis.hust.edu.vn,0949802218
5147,Tô Hạnh Thảo,0,teacher5146@sis.hust.edu.vn,0949802218
5148,Ngô Ðinh Lộc,1,teacher5147@sis.hust.edu.vn,0973892286
5149,Dương Bảo Hân,0,teacher5148@sis.hust.edu.vn,0949802218
5150,Phạm Hải My,0,teacher5149@sis.hust.edu.vn,0949802218
5151,Trần Xuân Yến,0,teacher5150@sis.hust.edu.vn,0949802218
5152,Vũ Mai Liên,0,teacher5151@sis.hust.edu.vn,0949802218
5153,Đinh Thanh Hào,1,teacher5152@sis.hust.edu.vn,0973892286
5154,Tô Thành Nhân,1,teacher5153@sis.hust.edu.vn,0973892286
5155,Dương Hàm Duyên,0,teacher5154@sis.hust.edu.vn,0949802218
5156,Tô Phúc Thịnh,1,teacher5155@sis.hust.edu.vn,0973892286
5157,Ngô Ðắc Thành,1,teacher5156@sis.hust.edu.vn,0973892286
5158,Phạm Ngọc Cảnh,1,teacher5157@sis.hust.edu.vn,0973892286
5159,Phan Quỳnh Thanh,0,teacher5158@sis.hust.edu.vn,0949802218
5160,Võ An Cơ,1,teacher5159@sis.hust.edu.vn,0973892286
5161,Ngô Công Giang,1,teacher5160@sis.hust.edu.vn,0973892286
5162,Vũ Hàm Ý,0,teacher5161@sis.hust.edu.vn,0949802218
5163,Ngô Xuân Thiện,1,teacher5162@sis.hust.edu.vn,0973892286
5164,Lã Kim Đan,0,teacher5163@sis.hust.edu.vn,0949802218
5165,Hoàng Thắng Lợi,1,teacher5164@sis.hust.edu.vn,0973892286
5166,Đinh Tấn Dũng,1,teacher5165@sis.hust.edu.vn,0973892286
5167,Lý Diễm Thúy,0,teacher5166@sis.hust.edu.vn,0949802218
5168,Dương Hữu Khôi,1,teacher5167@sis.hust.edu.vn,0973892286
5169,Võ Hồng Nhạn,0,teacher5168@sis.hust.edu.vn,0949802218
5170,Phùng Hoài Phương,0,teacher5169@sis.hust.edu.vn,0949802218
5171,Lã Quang Ninh,1,teacher5170@sis.hust.edu.vn,0973892286
5172,Dương Bình Ðạt,1,teacher5171@sis.hust.edu.vn,0973892286
5173,Lý Vân Tiên,0,teacher5172@sis.hust.edu.vn,0949802218
5174,Hoàng Lâm Nhi,0,teacher5173@sis.hust.edu.vn,0949802218
5175,Đinh Ðức Bằng,1,teacher5174@sis.hust.edu.vn,0973892286
5176,Phan Ðình Thiện,1,teacher5175@sis.hust.edu.vn,0973892286
5177,Hồ Hải Phong,1,teacher5176@sis.hust.edu.vn,0973892286
5178,Phùng Phương Thi,0,teacher5177@sis.hust.edu.vn,0949802218
5179,Lê Tâm Nguyệt,0,teacher5178@sis.hust.edu.vn,0949802218
5180,Bùi Ðình Nam,1,teacher5179@sis.hust.edu.vn,0973892286
5181,Phạm Khánh Hội,1,teacher5180@sis.hust.edu.vn,0973892286
5182,Lý Thái Minh,1,teacher5181@sis.hust.edu.vn,0973892286
5183,Bùi Thúy Hằng,0,teacher5182@sis.hust.edu.vn,0949802218
5184,Vũ Phúc Lâm,1,teacher5183@sis.hust.edu.vn,0973892286
5185,Phùng Mạnh Hùng,1,teacher5184@sis.hust.edu.vn,0973892286
5186,Phùng Thanh Kiên,1,teacher5185@sis.hust.edu.vn,0973892286
5187,Đặng Huyền Trân,0,teacher5186@sis.hust.edu.vn,0949802218
5188,Dương Hiền Nhi,0,teacher5187@sis.hust.edu.vn,0949802218
5189,Dương Viễn Ðông,1,teacher5188@sis.hust.edu.vn,0973892286
5190,Đỗ Nhật Duy,1,teacher5189@sis.hust.edu.vn,0973892286
5191,Lê Hà Hải,1,teacher5190@sis.hust.edu.vn,0973892286
5192,Ngô Phương Tâm,0,teacher5191@sis.hust.edu.vn,0949802218
5193,Trần Phú Hưng,1,teacher5192@sis.hust.edu.vn,0973892286
5194,Hồ Tiên Phương,0,teacher5193@sis.hust.edu.vn,0949802218
5195,Võ Anh Phương,0,teacher5194@sis.hust.edu.vn,0949802218
5196,Võ Quang Nhật,1,teacher5195@sis.hust.edu.vn,0973892286
5197,Lý Ly Châu,0,teacher5196@sis.hust.edu.vn,0949802218
5198,Lã Việt Thông,1,teacher5197@sis.hust.edu.vn,0973892286
5199,Phan Bạch Tuyết,0,teacher5198@sis.hust.edu.vn,0949802218
5200,Phan Quang Tú,1,teacher5199@sis.hust.edu.vn,0973892286
5201,Đỗ Thúy Vy,0,teacher5200@sis.hust.edu.vn,0949802218
5202,Vũ Ái Nhi,0,teacher5201@sis.hust.edu.vn,0949802218
5203,Phạm Thu Nga,0,teacher5202@sis.hust.edu.vn,0949802218
5204,Nguyễn Hùng Tường,1,teacher5203@sis.hust.edu.vn,0973892286
5205,Dương Khánh Hòa,1,teacher5204@sis.hust.edu.vn,0973892286
5206,Lã Oanh Thơ,0,teacher5205@sis.hust.edu.vn,0949802218
5207,Bùi Tuyết Trinh,0,teacher5206@sis.hust.edu.vn,0949802218
5208,Phan Hạ Uyên,0,teacher5207@sis.hust.edu.vn,0949802218
5209,Hồ Ðồng Dao,0,teacher5208@sis.hust.edu.vn,0949802218
5210,Đỗ Thanh Ngân,0,teacher5209@sis.hust.edu.vn,0949802218
5211,Đặng Ðắc Lực,1,teacher5210@sis.hust.edu.vn,0973892286
5212,Vũ Huệ Phương,0,teacher5211@sis.hust.edu.vn,0949802218
5213,Hoàng Thanh Nhung,0,teacher5212@sis.hust.edu.vn,0949802218
5214,Bùi Hòa Lạc,1,teacher5213@sis.hust.edu.vn,0973892286
5215,Đặng Thanh Xuân,0,teacher5214@sis.hust.edu.vn,0949802218
5216,Lý Khải Hà,0,teacher5215@sis.hust.edu.vn,0949802218
5217,Đặng Phúc Hòa,1,teacher5216@sis.hust.edu.vn,0973892286
5218,Trần Mỹ Nhân,0,teacher5217@sis.hust.edu.vn,0949802218
5219,Ngô Thảo Uyên,0,teacher5218@sis.hust.edu.vn,0949802218
5220,Lê Hạnh San,0,teacher5219@sis.hust.edu.vn,0949802218
5221,Phạm Thiên Duyên,0,teacher5220@sis.hust.edu.vn,0949802218
5222,Hồ Ngọc Nhi,0,teacher5221@sis.hust.edu.vn,0949802218
5223,Phan Cao Phong,1,teacher5222@sis.hust.edu.vn,0973892286
5224,Phùng Hồng Quang,1,teacher5223@sis.hust.edu.vn,0973892286
5225,Vũ Trúc Mai,0,teacher5224@sis.hust.edu.vn,0949802218
5226,Trần Nhã Khanh,0,teacher5225@sis.hust.edu.vn,0949802218
